Section,Class,Subclass,Section_desc,Class_desc,Subclass_desc,labels_desc,words_num
A,A01,A01N,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"preservation of bodies of humans or animals or plants or parts thereof (preservation of food or foodstuff a23); biocides, e.g. as disinfectants, as pesticides or as herbicides (preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms a61k); pest repellants or attractants; plant growth regulators",human necessities agriculture forestry animal husbandry hunting trapping fishing preservation of bodies of humans or animals or plants or parts thereof preservation of food or foodstuff a23 biocides e g as disinfectants as pesticides or as herbicides preparations for medical dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms a61k pest repellants or attractants plant growth regulators,63
A,A01,A01P,human necessities,agriculture; forestry; animal husbandry; hunting; trapping; fishing,"biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations",human necessities agriculture forestry animal husbandry hunting trapping fishing biocidal pest repellant pest attractant or plant growth regulatory activity of chemical compounds or preparations,24
A,A21,A21B,human necessities,baking; edible doughs,"bakers' ovens; machines or equipment for baking (domestic baking equipment a47j37/00; combustion apparatus f23; domestic stoves or ranges being wholly or partly ovens f24b, f24c)",human necessities baking edible doughs bakers   ovens machines or equipment for baking domestic baking equipment a47j37 00 combustion apparatus f23 domestic stoves or ranges being wholly or partly ovens f24b f24c,33
A,A21,A21C,human necessities,baking; edible doughs,machines or equipment for making or processing doughs; handling baked articles made from dough,human necessities baking edible doughs machines or equipment for making or processing doughs handling baked articles made from dough,19
A,A21,A21D,human necessities,baking; edible doughs,"treatment, e.g. preservation, of flour or dough, e.g. by addition of materials; baking; bakery products; preservation thereof",human necessities baking edible doughs treatment e g preservation of flour or dough e g by addition of materials baking bakery products preservation thereof,24
A,A22,A22B,human necessities,butchering; meat treatment; processing poultry or fish,slaughtering,human necessities butchering meat treatment processing poultry or fish slaughtering,10
A,A22,A22C,human necessities,butchering; meat treatment; processing poultry or fish,"processing meat, poultry, or fish (preserving a23b; obtaining protein compositions for foodstuffs a23j1/00; fish, meat or poultry preparations a23l; disintegrating, e.g. chopping meat, b02c18/00; preparation of proteins c07k1/00)",human necessities butchering meat treatment processing poultry or fish processing meat poultry or fish preserving a23b obtaining protein compositions for foodstuffs a23j1 00 fish meat or poultry preparations a23l disintegrating e g chopping meat b02c18 00 preparation of proteins c07k1 00,41
A,A23,A23B,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seeds; chemical ripening of fruit or vegetables; the preserved, ripened, or canned products",human necessities foods or foodstuffs treatment thereof not covered by other classes preserving e g by canning meat fish eggs fruit vegetables edible seeds chemical ripening of fruit or vegetables the preserved ripened or canned products,36
A,A23,A23C,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","dairy products, e.g. milk, butter or cheese; milk or cheese substitutes; making thereof (obtaining protein compositions for foodstuffs a23j1/00)",human necessities foods or foodstuffs treatment thereof not covered by other classes dairy products e g milk butter or cheese milk or cheese substitutes making thereof obtaining protein compositions for foodstuffs a23j1 00,33
A,A23,A23D,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","edible oils or fats, e.g. margarines, shortenings, cooking oils (animal feeding-stuffs a23k10/00-a23k20/30, a23k30/00-a23k50/90; foods or foodstuffs containing edible oils or fats a21d, a23c, a23g, a23l; obtaining, refining, preserving c11b, c11c; hydrogenation c11c3/12)",human necessities foods or foodstuffs treatment thereof not covered by other classes edible oils or fats e g margarines shortenings cooking oils animal feeding stuffs a23k10 00 a23k20 30 a23k30 00 a23k50 90 foods or foodstuffs containing edible oils or fats a21d a23c a23 g a23l obtaining refining preserving c11b c11c hydrogenation c11c3 12,54
A,A23,A23F,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","coffee; tea; their substitutes; manufacture, preparation, or infusion thereof",human necessities foods or foodstuffs treatment thereof not covered by other classes coffee tea their substitutes manufacture preparation or infusion thereof,21
A,A23,A23G,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","cocoa; cocoa products, e.g. chocolate; substitutes for cocoa or cocoa products; confectionery; chewing gum; ice-cream; preparation thereof",human necessities foods or foodstuffs treatment thereof not covered by other classes cocoa cocoa products e g chocolate substitutes for cocoa or cocoa products confectionery chewing gum ice cream preparation thereof,31
A,A23,A23J,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes",protein compositions for foodstuffs; working-up proteins for foodstuffs; phosphatide compositions for foodstuffs,human necessities foods or foodstuffs treatment thereof not covered by other classes protein compositions for foodstuffs working up proteins for foodstuffs phosphatide compositions for foodstuffs,25
A,A23,A23K,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes",fodder,human necessities foods or foodstuffs treatment thereof not covered by other classes fodder,13
A,A23,A23L,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses a21d or a23b-a23j; their preparation or treatment, e.g. cooking, modification of nutritive qualities, physical treatment (shaping or working, not fully covered by this subclass, a23p); preservation of foods or foodstuffs, in general",human necessities foods or foodstuffs treatment thereof not covered by other classes foods foodstuffs or non alcoholic beverages not covered by subclasses a21d or a23b a23j their preparation or treatment e g cooking modification of nutritive qualities physical treatment shaping or working not fully covered by this subclass a23p preservation of foods or foodstuffs in general,56
A,A23,A23N,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","machines or apparatus for treating harvested fruit, vegetables or flower bulbs in bulk, not otherwise provided for; peeling vegetables or fruit in bulk; apparatus for preparing animal feeding- stuffs (machines for cutting straw or fodder a01f29/00; disintegrating, e.g. shredding, b02c; severing, e.g. cutting, splitting, slicing b26b, b26d)",human necessities foods or foodstuffs treatment thereof not covered by other classes machines or apparatus for treating harvested fruit vegetables or flower bulbs in bulk not otherwise provided for peeling vegetables or fruit in bulk apparatus for preparing animal feeding stuffs machines for cutting straw or fodder a01f29 00 disintegrating e g shredding b02c severing e g cutting splitting slicing b26b b26d,62
A,A23,A23P,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","shaping or working of foodstuffs, not fully covered by a single other subclass",human necessities foods or foodstuffs treatment thereof not covered by other classes shaping or working of foodstuffs not fully covered by a single other subclass,25
A,A23,A23V,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes","indexing scheme relating to foods, foodstuffs or non-alcoholic beverages",human necessities foods or foodstuffs treatment thereof not covered by other classes indexing scheme relating to foods foodstuffs or non alcoholic beverages,22
A,A23,A23Y,human necessities,"foods or foodstuffs; treatment thereof, not covered by other classes",indexing scheme relating to lactic or propionic acid bacteria used in foodstuffs or food preparation,human necessities foods or foodstuffs treatment thereof not covered by other classes indexing scheme relating to lactic or propionic acid bacteria used in foodstuffs or food preparation,27
A,A24,A24B,human necessities,tobacco; cigars; cigarettes; simulated smoking devices; smokers' requisites,manufacture or preparation of tobacco for smoking or chewing; tobacco; snuff,human necessities tobacco cigars cigarettes simulated smoking devices smokers   requisites manufacture or preparation of tobacco for smoking or chewing tobacco snuff,23
A,A24,A24C,human necessities,tobacco; cigars; cigarettes; simulated smoking devices; smokers' requisites,machines for making cigars or cigarettes,human necessities tobacco cigars cigarettes simulated smoking devices smokers   requisites machines for making cigars or cigarettes,18
A,A24,A24D,human necessities,tobacco; cigars; cigarettes; simulated smoking devices; smokers' requisites,cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces,human necessities tobacco cigars cigarettes simulated smoking devices smokers   requisites cigars cigarettes tobacco smoke filters mouthpieces for cigars or cigarettes manufacture of tobacco smoke filters or mouthpieces,29
A,A24,A24F,human necessities,tobacco; cigars; cigarettes; simulated smoking devices; smokers' requisites,"smokers' requisites; match boxes; simulated smoking devices (inhaling appliances for medical purposes, shaped like cigars, cigarettes or pipes a61m15/06)",human necessities tobacco cigars cigarettes simulated smoking devices smokers   requisites smokers   requisites match boxes simulated smoking devices inhaling appliances for medical purposes shaped like cigars cigarettes or pipes a61m15 06,34
A,A41,A41B,human necessities,wearing apparel,shirts; underwear; baby linen; handkerchiefs,human necessities wearing apparel shirts underwear baby linen handkerchiefs,9
A,A41,A41C,human necessities,wearing apparel,corsets; brassieres,human necessities wearing apparel corsets brassieres,6
A,A41,A41D,human necessities,wearing apparel,outerwear; protective garments; accessories,human necessities wearing apparel outerwear protective garments accessories,8
A,A41,A41F,human necessities,wearing apparel,garment fastenings; suspenders,human necessities wearing apparel garment fastenings suspenders,7
A,A41,A41G,human necessities,wearing apparel,artificial flowers; wigs; masks; feathers,human necessities wearing apparel artificial flowers wigs masks feathers,9
A,A41,A41H,human necessities,wearing apparel,"appliances or methods for making clothes, e.g. for dress-making, for tailoring, not otherwise provided for (machines, appliances, or methods for making particular articles of apparel, see the relevant groups for these articles in a41b - a41f; cutting tools or machines in general b26; weaving, braiding, lace-making, knitting, tufting, treating of textiles d03 - d06; sewing-machines, sewing appliances, seam-ripping devices d05b; cutting or otherwise severing textile materials d06h7/00)",human necessities wearing apparel appliances or methods for making clothes e g for dress making for tailoring not otherwise provided for machines appliances or methods for making particular articles of apparel see the relevant groups for these articles in a41b a41f cutting tools or machines in general b26 weaving braiding lace making knitting tufting treating of textiles d03 d06 sewing machines sewing appliances seam ripping devices d05b cutting or otherwise severing textile materials d06h7 00,75
A,A42,A42B,human necessities,headwear,hats; head coverings (headbands a41d20/00; head-scarves a41d23/00),human necessities headwear hats head coverings headbands a41d20 00 head scarves a41d23 00,13
A,A42,A42C,human necessities,headwear,"manufacturing or trimming head coverings, e.g. hats",human necessities headwear manufacturing or trimming head coverings e g hats,11
A,A43,A43B,human necessities,footwear,characteristic features of footwear; parts of footwear,human necessities footwear characteristic features of footwear parts of footwear,10
A,A43,A43C,human necessities,footwear,fastenings or attachments of footwear; laces in general,human necessities footwear fastenings or attachments of footwear laces in general,11
A,A43,A43D,human necessities,footwear,"machines, tools, equipment or methods for manufacturing or repairing footwear",human necessities footwear machines tools equipment or methods for manufacturing or repairing footwear,13
A,A44,A44B,human necessities,haberdashery; jewellery,"buttons, pins, buckles, slide fasteners, or the like (fastenings specially adapted for footwear a43c)",human necessities haberdashery jewellery buttons pins buckles slide fasteners or the like fastenings specially adapted for footwear a43c,18
A,A44,A44C,human necessities,haberdashery; jewellery,"personal adornments, e.g. jewellery; coins",human necessities haberdashery jewellery personal adornments e g jewellery coins,10
A,A44,A44D,human necessities,haberdashery; jewellery,"indexing scheme relating to buttons, pins, buckles or slide fasteners, and to jewellery, bracelets or other personal adornments",human necessities haberdashery jewellery indexing scheme relating to buttons pins buckles or slide fasteners and to jewellery bracelets or other personal adornments,22
A,A45,A45B,human necessities,hand or travelling articles,"walking sticks (walking aids, e.g. sticks, for blind persons a61h3/06); umbrellas; ladies' or like fans (cane or umbrella stands or holders a47g25/12)",human necessities hand or travelling articles walking sticks walking aids e g sticks for blind persons a61h3 06 umbrellas ladies   or like fans cane or umbrella stands or holders a47g25 12,33
A,A45,A45C,human necessities,hand or travelling articles,purses; luggage; hand carried bags,human necessities hand or travelling articles purses luggage hand carried bags,11
A,A45,A45D,human necessities,hand or travelling articles,"hairdressing or shaving equipment (wigs, toupees, or the like a41g3/00, a41g5/00; hairdressers' chairs a47c1/04; hair cutting appliances, razors b26b); equipment for cosmetics or cosmetic treatments, e.g. for manicuring or pedicuring",human necessities hand or travelling articles hairdressing or shaving equipment wigs toupees or the like a41g3 00 a41g5 00 hairdressers   chairs a47c1 04 hair cutting appliances razors b26b equipment for cosmetics or cosmetic treatments e g for manicuring or pedicuring,42
A,A45,A45F,human necessities,hand or travelling articles,travelling or camp equipment: sacks or packs carried on the body,human necessities hand or travelling articles travelling or camp equipment sacks or packs carried on the body,17
A,A46,A46B,human necessities,brushware,brushes (handles not integral with brushware b25g),human necessities brushware brushes handles not integral with brushware b25 g,11
A,A46,A46D,human necessities,brushware,manufacture of brushes,human necessities brushware manufacture of brushes,6
A,A47,A47B,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,tables; desks; office furniture; cabinets; drawers; general details of furniture (furniture jointing f16b),human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general tables desks office furniture cabinets drawers general details of furniture furniture jointing f16b,28
A,A47,A47C,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,chairs (seats specially adapted for vehicles b60n2/00); sofas; beds (upholstery in general b68g),human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general chairs seats specially adapted for vehicles b60n2 00 sofas beds upholstery in general b68 g,30
A,A47,A47D,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,"furniture specially adapted for children (school benches or desks a47b39/00, a47b41/00)",human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general furniture specially adapted for children school benches or desks a47b39 00 a47b41 00,28
A,A47,A47F,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,"special furniture, fittings, or accessories for shops, storehouses, bars, restaurants or the like; paying counters",human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general special furniture fittings or accessories for shops storehouses bars restaurants or the like paying counters,30
A,A47,A47G,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,household or table equipment (book-ends a47b5/00; knives b26b),human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general household or table equipment book ends a47b5 00 knives b26b,25
A,A47,A47H,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,furnishings for windows or doors (concerned with the functioning of the door or window e05; roller blinds e06b),human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general furnishings for windows or doors concerned with the functioning of the door or window e05 roller blinds e06b,33
A,A47,A47J,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,kitchen equipment; coffee mills; spice mills; apparatus for making beverages,human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general kitchen equipment coffee mills spice mills apparatus for making beverages,25
A,A47,A47K,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,"sanitary equipment not otherwise provided for (connecting to water supply or waste pipe, sinks e03c; water-closets e03d); toilet accessories (cosmetic equipment a45d)",human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general sanitary equipment not otherwise provided for connecting to water supply or waste pipe sinks e03c water closets e03d toilet accessories cosmetic equipment a45d,38
A,A47,A47L,human necessities,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,domestic washing or cleaning (brushes a46b; cleaning quantities of bottles or of other hollow articles of one kind b08b9/00; laundry d06f); suction cleaners in general (cleaning in general b08),human necessities furniture domestic articles or appliances coffee mills spice mills suction cleaners in general domestic washing or cleaning brushes a46b cleaning quantities of bottles or of other hollow articles of one kind b08b9 00 laundry d06f suction cleaners in general cleaning in general b08,45
A,A61,A61B,human necessities,medical or veterinary science; hygiene,"diagnosis; surgery; identification (analysing biological material g01n, e.g. g01n33/48; obtaining records using waves other than optical waves, in general g03b42/00)",human necessities medical or veterinary science hygiene diagnosis surgery identification analysing biological material g01n e g g01n33 48 obtaining records using waves other than optical waves in general g03b42 00,30
A,A61,A61C,human necessities,medical or veterinary science; hygiene,"dentistry; apparatus or methods for oral or dental hygiene (non-driven toothbrushes a46b; {tongue scrapers a61b17/24;} preparations for dentistry a61k6/00; preparations for cleaning the teeth or mouth a61k8/00, a61q11/00)",human necessities medical or veterinary science hygiene dentistry apparatus or methods for oral or dental hygiene non driven toothbrushes a46b tongue scrapers a61b17 24 preparations for dentistry a61k6 00 preparations for cleaning the teeth or mouth a61k8 00 a61q11 00,40
A,A61,A61D,human necessities,medical or veterinary science; hygiene,"veterinary instruments, implements, tools, or methods",human necessities medical or veterinary science hygiene veterinary instruments implements tools or methods,13
A,A61,A61F,human necessities,medical or veterinary science; hygiene,"filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits (dental prosthetics a61c)",human necessities medical or veterinary science hygiene filters implantable into blood vessels prostheses devices providing patency to or preventing collapsing of tubular structures of the body e g stents orthopaedic nursing or contraceptive devices fomentation treatment or protection of eyes or ears bandages dressings or absorbent pads first aid kits dental prosthetics a61c,53
A,A61,A61G,human necessities,medical or veterinary science; hygiene,"transport, personal conveyances, or accommodation specially adapted for patients or disabled persons (appliances for aiding patients or disabled persons to walk a61h3/00); operating tables or chairs; chairs for dentistry; funeral devices (embalming corpses a01n1/00)",human necessities medical or veterinary science hygiene transport personal conveyances or accommodation specially adapted for patients or disabled persons appliances for aiding patients or disabled persons to walk a61h3 00 operating tables or chairs chairs for dentistry funeral devices embalming corpses a01n1 00,43
A,A61,A61H,human necessities,medical or veterinary science; hygiene,"physical therapy apparatus, e.g. devices for locating or stimulating reflex points in the body; artificial respiration; massage; bathing devices for special therapeutic or hygienic purposes or specific parts of the body (electrotherapy, magnetotherapy, radiation therapy, ultrasound therapy a61n)",human necessities medical or veterinary science hygiene physical therapy apparatus e g devices for locating or stimulating reflex points in the body artificial respiration massage bathing devices for special therapeutic or hygienic purposes or specific parts of the body electrotherapy magnetotherapy radiation therapy ultrasound therapy a61n,46
A,A61,A61J,human necessities,medical or veterinary science; hygiene,containers specially adapted for medical or pharmaceutical purposes; devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms; devices for administering food or medicines orally; baby comforters; devices for receiving spittle,human necessities medical or veterinary science hygiene containers specially adapted for medical or pharmaceutical purposes devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms devices for administering food or medicines orally baby comforters devices for receiving spittle,43
A,A61,A61K,human necessities,medical or veterinary science; hygiene,"preparations for medical, dental, or toilet purposes (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms a61j3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles a61l; soap compositions c11d)",human necessities medical or veterinary science hygiene preparations for medical dental or toilet purposes devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms a61j3 00 chemical aspects of or use of materials for deodorisation of air for disinfection or sterilisation or for bandages dressings absorbent pads or surgical articles a61l soap compositions c11d,59
A,A61,A61L,human necessities,medical or veterinary science; hygiene,"methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles (preservation of bodies or disinfecting characterised by the agent employed a01n; preserving, e.g. sterilising, food or foodstuffs a23; preparations for medical, dental or toilet purposes a61k; preparation of ozone c01b13/10)",human necessities medical or veterinary science hygiene methods or apparatus for sterilising materials or objects in general disinfection sterilisation or deodorisation of air chemical aspects of bandages dressings absorbent pads or surgical articles materials for bandages dressings absorbent pads or surgical articles preservation of bodies or disinfecting characterised by the agent employed a01n preserving e g sterilising food or foodstuffs a23 preparations for medical dental or toilet purposes a61k preparation of ozone c01b13 10,74
A,A61,A61M,human necessities,medical or veterinary science; hygiene,"devices for introducing media into, or onto, the body (introducing media into or onto the bodies of animals a61d7/00; means for inserting tampons a61f13/26; devices for administering food or medicines orally a61j; containers for collecting, storing or administering blood or medical fluids a61j1/05); devices for transducing body media or for taking media from the body (surgery a61b; chemical aspects of surgical articles a61l); devices for producing or ending sleep or stupor {(electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents a61n1/36021)}",human necessities medical or veterinary science hygiene devices for introducing media into or onto the body introducing media into or onto the bodies of animals a61d7 00 means for inserting tampons a61f13 26 devices for administering food or medicines orally a61j containers for collecting storing or administering blood or medical fluids a61j1 05 devices for transducing body media or for taking media from the body surgery a61b chemical aspects of surgical articles a61l devices for producing or ending sleep or stupor electrotherapy e g producing anaesthesia by the use of alternating or intermittent currents a61n1 36021,96
A,A61,A61N,human necessities,medical or veterinary science; hygiene,"electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy (measurement of bioelectric currents a61b; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body a61b18/00; anaesthetic apparatus in general a61m; incandescent lamps h01k; infra-red radiators for heating h05b)",human necessities medical or veterinary science hygiene electrotherapy magnetotherapy radiation therapy ultrasound therapy measurement of bioelectric currents a61b surgical instruments devices or methods for transferring non mechanical forms of energy to or from the body a61b18 00 anaesthetic apparatus in general a61 m incandescent lamps h01k infra red radiators for heating h05b,52
A,A61,A61P,human necessities,medical or veterinary science; hygiene,specific therapeutic activity of chemical compounds or medicinal preparations,human necessities medical or veterinary science hygiene specific therapeutic activity of chemical compounds or medicinal preparations,16
A,A61,A61Q,human necessities,medical or veterinary science; hygiene,specific use of cosmetics or similar toilet preparations,human necessities medical or veterinary science hygiene specific use of cosmetics or similar toilet preparations,15
A,A62,A62B,human necessities,life-saving; fire-fighting,"devices, apparatus or methods for life-saving (valves specially adapted for medical use a61m39/00; life-saving devices, apparatus or methods specially adapted for use in water b63c9/00; divers' equipment b63c11/00; specially adopted for use with aircraft, e.g. parachutes, ejector seats, {b64d17/00, b64d25/10}; rescue devices peculiar to mining e21f11/00)",human necessities life saving fire fighting devices apparatus or methods for life saving valves specially adapted for medical use a61m39 00 life saving devices apparatus or methods specially adapted for use in water b63c9 00 divers   equipment b63c11 00 specially adopted for use with aircraft e g parachutes ejector seats b64d17 00 b64d25 10 rescue devices peculiar to mining e21f11 00,63
A,A62,A62C,human necessities,life-saving; fire-fighting,"fire-fighting (fire-extinguishing compositions, use of chemical substances in extinguishing fires a62d1/00; spraying, applying liquids or other fluent materials to surfaces in general b05; alarm arrangements g08b, e.g. fire alarms actuated by smoke or gases g08b17/10)",human necessities life saving fire fighting fire fighting fire extinguishing compositions use of chemical substances in extinguishing fires a62d1 00 spraying applying liquids or other fluent materials to surfaces in general b05 alarm arrangements g08b e g fire alarms actuated by smoke or gases g08b17 10,46
A,A62,A62D,human necessities,life-saving; fire-fighting,chemical means for extinguishing fires or for combating or protecting against harmful chemical agents; chemical materials for use in breathing apparatus,human necessities life saving fire fighting chemical means for extinguishing fires or for combating or protecting against harmful chemical agents chemical materials for use in breathing apparatus,27
A,A63,A63B,human necessities,sports; games; amusements,"apparatus for physical training, gymnastics, swimming, climbing, or fencing; ball games; training equipment (apparatus for passive exercising, massage a61h)",human necessities sports games amusements apparatus for physical training gymnastics swimming climbing or fencing ball games training equipment apparatus for passive exercising massage a61h,24
A,A63,A63C,human necessities,sports; games; amusements,"skates; skis; roller skates; design or layout of courts, rinks or the like (water skis b63b32/00, b63b34/00)",human necessities sports games amusements skates skis roller skates design or layout of courts rinks or the like water skis b63b32 00 b63b34 00,24
A,A63,A63D,human necessities,sports; games; amusements,"bowling games, e.g. skittles, bocce or bowls; installations therefor; bagatelle or similar games; billiards (balls a63b37/00)",human necessities sports games amusements bowling games e g skittles bocce or bowls installations therefor bagatelle or similar games billiards balls a63b37 00,23
A,A63,A63F,human necessities,sports; games; amusements,"card, board, or roulette games; indoor games using small moving playing bodies; video games; games not otherwise provided for",human necessities sports games amusements card board or roulette games indoor games using small moving playing bodies video games games not otherwise provided for,24
A,A63,A63G,human necessities,sports; games; amusements,merry-go-rounds; swings; rocking-horses; chutes; switchbacks; similar devices for public amusement,human necessities sports games amusements merry go rounds swings rocking horses chutes switchbacks similar devices for public amusement,18
A,A63,A63H,human necessities,sports; games; amusements,"toys, e.g. tops, dolls, hoops or building blocks",human necessities sports games amusements toys e g tops dolls hoops or building blocks,14
A,A63,A63J,human necessities,sports; games; amusements,"devices for theatres, circuses, or the like; conjuring appliances or the like",human necessities sports games amusements devices for theatres circuses or the like conjuring appliances or the like,17
A,A63,A63K,human necessities,sports; games; amusements,racing; riding sports; equipment or accessories therefor (stop watches g04f7/06; timing g07c1/22; indicating arrangements for variable information by selection or combination of individual elements g09f9/00),human necessities sports games amusements racing riding sports equipment or accessories therefor stop watches g04f7 06 timing g07c1 22 indicating arrangements for variable information by selection or combination of individual elements g09f9 00,33
A,A99,A99Z,human necessities,subject matter not otherwise provided for in this section,subject matter not otherwise provided for in this section,human necessities subject matter not otherwise provided for in this section subject matter not otherwise provided for in this section,20
